scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.1169738757980858,0.11683682969910776,0.00013704609897803339,0.07552906462987188,0.9815,0.09143804176274979,2000.0
1,TWFE,0.11814340698260563,0.11683682969910776,0.0013065772834978508,0.06138465439318397,0.999,0.10981530825356434,2000.0
2,DML-Chang,0.04503848660350375,0.08111247673429534,-0.03607399013079159,0.14117661463747194,0.964,0.14940629200687797,2000.0
2,TWFE,0.08353440562825808,0.08111247673429534,0.002421928893962731,0.0640285410954263,1.0,0.11743010202834026,2000.0
3,DML-Multi,-0.05041238158177616,-0.052247245417215635,0.001834863835439465,0.057872933798342234,1.0,,2000.0
3,TWFE,0.10201167432674305,0.008691701762586037,0.093319972564157,0.12277604598443374,0.6880411406506305,0.06775655418768566,2000.0
4,DML-Chang,0.10333369209544663,0.10666068473405851,-0.0033269926386119025,0.0980457090728438,0.973,0.10650922836773442,2000.0
4,TWFE,0.27890625205700603,0.10666068473405851,0.17224556732294752,0.18394467190636876,0.6835,0.10332014090794002,2000.0
5,DML-Chang,0.06125012160668934,0.12441844603566522,-0.06316832442897588,0.16235549180978856,0.9655,0.17130040658818496,2000.0
5,TWFE,0.2629897302805411,0.12441844603566522,0.13857128424487583,0.15539754869771735,0.9075,0.11792535671232676,2000.0
6,DML-Multi,-0.11428415048980722,-0.12064189355492654,0.006357743065119304,0.06650757471464847,1.0,,2000.0
6,TWFE,0.15140807481046809,-0.02546393090335238,0.1768720057138205,0.18946949050575362,0.18454501944857885,0.057668103772652864,2000.0
7,DML-Chang,-0.9247189966451219,-0.9245457847171352,-0.00017321192798669976,0.17965362776289762,0.959,0.18528545010193787,2000.0
7,TWFE,-0.7604656759591284,-0.9245457847171352,0.16408010875800688,0.18109148095954597,0.8135,0.11990660606020925,2000.0
8,DML-Chang,-0.2914982221175881,-0.5717970653400581,0.2802988432224701,0.34894048251883764,0.7295,0.21781628298133865,2000.0
8,TWFE,-0.4605827917091125,-0.5717970653400581,0.1112142736309457,0.14468509371706703,0.946,0.13343578076634985,2000.0
9,DML-Multi,-1.2010546958766084,-1.1892236223787425,-0.011831073497866261,0.10293393280591313,0.9980003801079255,,2000.0
9,TWFE,-0.6434786247215347,-0.9747091445410466,0.33123051981951196,0.3364782935529178,0.0,0.060810119848103555,2000.0
10,DML-Chang,0.037591021472361826,0.038203212597406666,-0.0006121911250448426,0.12305910611098815,0.985,0.14878536291563443,2000.0
10,TWFE,0.04019821062017682,0.038203212597406666,0.001994998022770148,0.06428851177873413,0.9885,0.08437904393754074,2000.0
11,DML-Chang,0.0566483983526173,0.048651068706242785,0.00799732964637451,0.15078346242605456,0.9765,0.17113972465654853,2000.0
11,TWFE,0.1884593356143925,0.048651068706242785,0.1398082669081497,0.15718377835258543,0.674,0.087509352776164,2000.0
12,DML-Chang,-0.29137698086214325,-0.6267301744578754,0.3353531935957322,0.3910965562526801,0.647,0.2191748544911542,2000.0
12,TWFE,-0.5129330455491995,-0.6267301744578754,0.11379712890867597,0.14529809862013549,0.839,0.10608339291428119,2000.0
